file,title,file_caption_en,file_caption_nl,depicts_P180,depicts_P180_label_en,depicts_P180_description_en,depicts_P180_label_nl,depicts_P180_description_nl,categories,wikidata_usage,wikidata_label
https://commons.wikimedia.org/entity/M82249988,File:Athlete by Carl Emil Mögle.jpg,,,,,,,,Fig leaves as covers (vintage photos); Muscular men in art; Photographs by Carl Emil Mögle,,
https://commons.wikimedia.org/entity/M20013663,File:August Falise 001.jpg,Design for the Jheronimus Bosch statue in 's-Hertogenbosch by the sculptor August Falise,Ontwerp voor het Jheronimus Bosch-beeld in 's-Hertogenbosch door de beeldhouwer August Falise,,,,,,Portraits of Hieronymus Bosch; Statue of Hieronymus Bosch ('s-Hertogenbosch),,
https://commons.wikimedia.org/entity/M111108863,"File:Bericht over opening tentoonstelling De Brug in Stedelijk Museum, 21-11-1926.jpg","Bericht over opening tentoonstelling De Brug in Stedelijk Museum, 21-11-1926",,,,,,,1926 exhibitions in the Netherlands; De Telegraaf; Joseph Jacob Isaacson; Vereniging De Brug,,
https://commons.wikimedia.org/entity/M147123506,"File:Bestuur van Delftsche Vrouwelijke Studenten Vereeniging, 1914.jpg",,"Bestuur van Delftsche Vrouwelijke Studenten Vereeniging, 1914",,,,,,1914 in Delft; Almanak der Delftsche Vrouwelijke Studenten Vereeniging; Delftsche Vrouwelijke Studenten Vereeniging,Q125354893,Delftsche Vrouwelijke Studenten Vereeniging
https://commons.wikimedia.org/entity/M116283588,"File:Cover Tijdschrift Op de Hoogte, aug 1924.jpg",,"Cover Tijdschrift Op de Hoogte, aug 1924",,,,,,Op de hoogte,Q88566857,Op de hoogte
https://commons.wikimedia.org/entity/M111951548,"File:De 4 damesbestuurderessen van de rustkamer, 1913.jpg",,"De 4 damesbestuurderessen van de rustkamer, 1913",,,,,,"De Vrouw 1813-1913; Gedenkboek van de tentoonstelling De Vrouw, 1813-1913; Posthumus Meyjes (surname); Rahusen (surname)",,
https://commons.wikimedia.org/entity/M123808324,File:De H. martelaren van Gorkum ter dood gebragt te Brielle 9 July 1572 - KONB16-534246273 - Prent 1 van 1.jpg,,,,,,,,Broadsheet prints from Koninklijke Bibliotheek; Broadsheet prints from Koninklijke Bibliotheek - Portraits,,
https://commons.wikimedia.org/entity/M112436144,"File:De hoogleraren der Vrije Universiteit, 1930.jpg",,"De hoogleraren der Vrije Universiteit, 1930",,,,,,Aart Arnout van Schelven; Adriaan Goslinga; Anne Anema; Cornelis van Gelderen; D.H.Th. Vollenhoven; De Tijd; Faculty of Vrije Universiteit Amsterdam; Frederik Willem Grosheide; Gerardus Sizoo; Gerhard Charles Aalders; Hendrik Josephus Pos; Herman Dooyeweerd; Herman Huber Kuyper; Jacobus Wille; Jan Coops; Jan Waterink; Jurjen Koksma; Lammert van der Horst; Leendert Bouman; Marius van Haaften; Pieter Diepenhorst; Pieter Sjoerds Gerbrandy; Rob Woltjer; Valentijn Hepp; Victor Rutgers,,
https://commons.wikimedia.org/entity/M117658924,File:De modelmaker bij Amphora aan het werk.jpg,,,,,,,,De Hollandsche Revue; Tegel- en Fayencefabriek Amphora,,
https://commons.wikimedia.org/entity/M57420193,File:Delftsche Courant vol 082 no 032 Teekeningen van een Da-da-avond (police).jpg,,,,,,,,Dada-tournee; Newspaper clippings from the Netherlands,,
https://commons.wikimedia.org/entity/M61611050,"File:Donor portrait - A noble lady kneeling - Psalter of Eleanor of Aquitaine (ca. 1185) - KB 76 F 13, folium 028v.jpg",,,,,,,,Eleanor of Aquitaine in miniature; Psalter of Eleanor of Aquitaine (ca. 1185) - KB 76F13,Q45126130,Psalter of Eleanor of Aquitaine
https://commons.wikimedia.org/entity/M82325897,File:Eenvoudige japon 1922.jpg,,,,,,,,1920s dresses; 1922-10-16; Fur fashion in 1688; Images from Rotterdamsch Nieuwsblad,,
https://commons.wikimedia.org/entity/M85959509,File:Album amicorum Jacob Heyblocq KB131H26 - p153 - Govert Flinck - Drawing - Scholar in his study.jpg,Album amicorum Jacob Heyblocq KB131H26 - p153 - Govert Flinck - Drawing - Scholar in his study,Album amicorum Jacob Heyblocq KB131H26 - p153 - Govert Flinck - Tekening - Geleerde in zijn studeerkamer,,,,,,Album amicorum van Jacobus Heyblocq; Drawings by Govert Flinck,Q105528457,AAJH-098 Contribution of Govert Flinck
https://commons.wikimedia.org/entity/M113920552,"File:Foto H. Goude - De camera; modern fotografisch tijdschrift, jrg 4, 1911-1912,.jpg",,,,,,,,Photographs by Helena Goude,,
https://commons.wikimedia.org/entity/M113920582,"File:Foto H. Goude 1 - Lux; foto-tijdschrift, jrg 15, 1904, no 279-302, 1904.jpg",,,,,,,,Lux (Dutch journal); Photographs by Helena Goude,,
https://commons.wikimedia.org/entity/M113920573,"File:Foto H. Goude 1 - Lux; foto-tijdschrift, jrg 16, 1905, no 303-326, 1905.jpg",,,,,,,,Lux (Dutch journal); Photographs by Helena Goude,,
https://commons.wikimedia.org/entity/M113920562,"File:Foto H. Goude 1 - Lux; foto-tijdschrift, jrg 17, 1906, no 327-350, 1906.jpg",,,,,,,,Lux (Dutch journal); Photographs by Helena Goude,,
https://commons.wikimedia.org/entity/M113920557,"File:Foto H. Goude 1 - Lux; foto-tijdschrift, jrg 18, 1907, no 351-374, 1907.jpg",,,,,,,,Lux (Dutch journal); Photographs by Helena Goude,,
https://commons.wikimedia.org/entity/M113920558,"File:Foto H. Goude 1 - Lux; foto-tijdschrift, jrg 19, 1908, no 375-398, 1908.jpg",,,,,,,,Lux (Dutch journal); Photographs by Helena Goude,,
https://commons.wikimedia.org/entity/M113920547,"File:Foto H. Goude 1 - Lux; foto-tijdschrift, jrg 23, 1912, no 18, 15-09-1912.jpg",,,,,,,,Lux (Dutch journal); Photographs by Helena Goude,,
https://commons.wikimedia.org/entity/M113920554,"File:Foto H. Goude 2 - De camera; modern fotografisch tijdschrift, jrg 2, 1910, no 23, 29-.jpg",,,,,,,,Photographic prints by Dirk Schnabel; Photographs by Helena Goude,,
https://commons.wikimedia.org/entity/M113920551,"File:Foto H. Goude 2 - De camera; modern fotografisch tijdschrift, jrg 2, 1910, no 24, 1.jpg",,,,,,,,Photographs by Helena Goude,,
https://commons.wikimedia.org/entity/M113920581,"File:Foto H. Goude 2 - Lux; foto-tijdschrift, jrg 15, 1904, no 279-302, 1904.jpg",,,,,,,,Lux (Dutch journal); Photographs by Helena Goude,,
https://commons.wikimedia.org/entity/M113920572,"File:Foto H. Goude 2 - Lux; foto-tijdschrift, jrg 16, 1905, no 303-326, 1905.jpg",,,,,,,,Lux (Dutch journal); Photographs by Helena Goude,,
https://commons.wikimedia.org/entity/M113920563,"File:Foto H. Goude 2 - Lux; foto-tijdschrift, jrg 17, 1906, no 327-350, 1906.jpg",,,,,,,,Lux (Dutch journal); Photographs by Helena Goude,,
https://commons.wikimedia.org/entity/M113920565,"File:Foto H. Goude 2 - Op de hoogte jrg 2, 1905, 05-11-1905.jpg",,,,,,,,Op de hoogte; Photographs by Helena Goude,,
https://commons.wikimedia.org/entity/M113920570,"File:Foto H. Goude 3 - Lux; foto-tijdschrift, jrg 16, 1905, no 303-326, 1905.jpg",,,,,,,,Lux (Dutch journal); Photographs by Helena Goude,,
https://commons.wikimedia.org/entity/M113920560,"File:Foto H. Goude 3 - Lux; foto-tijdschrift, jrg 17, 1906, no 327-350, 1906.jpg",,,,,,,,Lux (Dutch journal); Photographs by Helena Goude,,
