file,title,file_caption_en,file_caption_nl,depicts_P180,depicts_P180_label_en,depicts_P180_description_en,depicts_P180_label_nl,depicts_P180_description_nl,categories,wikidata_usage,wikidata_label
https://commons.wikimedia.org/entity/M83032394,File:Onze Afgevaardigden (1901) - Jan Schokking.jpg,"Portrait of Jan Schokking, Dutch politician (1864-1941)","Portret van Jan Schokking, Nederlands politicus (1864-1941)",Q2493089,Jan Schokking,Dutch politician (1864-1941),Jan Schokking,Nederlands politicus (1864-1941),Jan Schokking; Onze Afgevaardigden (1901),,
https://commons.wikimedia.org/entity/M83032097,File:Onze Afgevaardigden (1901) - Jan van Alphen.jpg,"Portrait of Jan van Alphen, politician (1829-1911)","Portret van Jan van Alphen, politicus (1829-1911)",Q2134255,Jan van Alphen,politician (1829-1911),Jan van Alphen,politicus (1829-1911),Jan van Alphen; Onze Afgevaardigden (1901),,
https://commons.wikimedia.org/entity/M83032056,File:Onze Afgevaardigden (1901) - Jan van Swinderen.jpg,"Portrait of Jan van Swinderen, politician (1837-1902)","Portret van Jan van Swinderen, Nederlands politicus (1837-1902)",Q14622426,Jan van Swinderen,politician (1837-1902),Jan Hendrik Frans Karel van Swinderen,Nederlands politicus (1837-1902),Jan van Swinderen; Onze Afgevaardigden (1901),,
https://commons.wikimedia.org/entity/M83032043,File:Onze Afgevaardigden (1901) - Jan Willem Hendrik Rutgers van Rozenburg.jpg,"Portrait of Jan Willem Hendrik Rutgers van Rozenburg, politician (1830-1902)","Portret van Jan Willem Hendrik Rutgers van Rozenburg, Nederlands politicus (1830-1902)",Q2753053,Jan Willem Hendrik Rutgers van Rozenburg,politician (1830-1902),Jan Willem Hendrik Rutgers van Rozenburg,Nederlands politicus (1830-1902),Jan Willem Hendrik Rutgers van Rozenburg; Onze Afgevaardigden (1901),,
https://commons.wikimedia.org/entity/M83032099,File:Onze Afgevaardigden (1901) - Jean Arnoldts.jpg,"Portrait of Jean Arnoldts, Dutch politician (1869-1946)","Portret van Jean Arnoldts, Nederlands politicus (1869-1946)",Q1879379,Jean Arnoldts,Dutch politician (1869-1946),Jean Arnoldts,Nederlands politicus (1869-1946),Jean Arnoldts; Onze Afgevaardigden (1901),,
https://commons.wikimedia.org/entity/M83032373,File:Onze Afgevaardigden (1901) - Joan Röell.jpg,Portrait of Joan RÃ¶ell (1844-1914),Portret van Joan RÃ¶ell (1844-1914),Q1690781,Joan Röell,Dutch politician (1844-1914),Joan Röell,Nederlands politicus (1844-1914),Joan Röell; Onze Afgevaardigden (1901),,
https://commons.wikimedia.org/entity/M83031964,File:Onze Afgevaardigden (1901) - Johan George Gleichman.jpg,"Portrait of Johan George Gleichman, Dutch politician (1834-1906)","Portret van Johan George Gleichman, Nederlands politicus (1834-1906)",Q1541357,Johan George Gleichman,Dutch politician (1834-1906),Johan George Gleichman,Nederlands politicus (1834-1906),Johan George Gleichman; Onze Afgevaardigden (1901),,
https://commons.wikimedia.org/entity/M83031960,File:Onze Afgevaardigden (1901) - Johan Herman Geertsema Czn..jpg,"Portrait of Johan Herman Geertsema Czn, Dutch politician and lawyer (1816-1908)","Portret van Johan Herman Geertsema Czn, Nederlands politicus en advocaat (1816-1908)",Q2047324,Johan Herman Geertsema Czn.,Dutch politician and lawyer (1816-1908),Johan Herman Geertsema Czn.,Nederlands politicus en advocaat (1816-1908),Johan Herman Geertsema Czn.; Onze Afgevaardigden (1901),,
https://commons.wikimedia.org/entity/M83032233,File:Onze Afgevaardigden (1901) - Johan Willem Herman Meyert van Idsinga.jpg,"Portrait of Johan Willem Herman Meyert van Idsinga, Dutch politician (1854-1921)","Portret van Johan Willem Herman Meyert van Idsinga, Nederlands politicus (1854-1921)",Q2518972,Johan Willem Herman Meyert van Idsinga,Dutch politician (1854-1921),Johan Willem Herman Meyert van Idsinga,Nederlands politicus (1854-1921),Johan Willem Herman Meyert van Idsinga; Onze Afgevaardigden (1901),,
https://commons.wikimedia.org/entity/M83032236,File:Onze Afgevaardigden (1901) - Johannes Franciscus Jansen.jpg,"Portrait of Johannes Franciscus Jansen, Dutch politician (1824-1901)","Portret van Johannes Franciscus Jansen, Nederlands politicus (1824-1901)",Q21517845,Johannes Franciscus Jansen,Dutch politician (1824-1901),Johannes Franciscus Jansen,Nederlands politicus (1824-1901),Johannes Franciscus Jansen; Onze Afgevaardigden (1901),Q21517845,Johannes Franciscus Jansen
